time,occu,temp,ac,lights
118.4,9,23,on,on
118.5,9,23,on,on
118.6,9,23,on,on
118.7,9,23,on,on
118.8,9,23,on,on
118.9,9,23,on,on
119,9,23,on,on
119.1,9,23,on,on
119.2,9,23,on,on
119.3,9,23,on,on
119.4,9,23,on,on
119.5,9,23,on,on
119.6,9,23,on,on
119.7,9,23,on,on
119.8,9,23,on,on
119.9,9,23,on,on
120,9,23,on,on
